fips,total,commodity,conservation,disaster,insurance,Year
56001,254287,0,12058,116750,125479,2019
56003,2447509,1182963,56456,65551,1142539,2019
56005,1072964,526136,278328,51465,217035,2019
56007,2202491,28232,3986,1541255,629018,2019
56009,677187,198130,102650,115547,260860,2019
56011,1247847,734219,18262,105773,389593,2019
56013,1395881,709013,85388,61984,539496,2019
56015,5086441,1826735,1826549,0,1433157,2019
56017,86545,32914,25176,0,28455,2019
56019,388009,169093,3675,34603,180638,2019
56021,6577555,3347544,1284772,6918,1938321,2019
56023,1233510,377487,54186,308843,492994,2019
56025,576164,322748,10431,22369,220616,2019
56027,1022309,335177,344692,26875,315565,2019
56029,2263213,1148874,7181,6094,1101064,2019
56031,3176804,836892,1233968,314023,791921,2019
56033,485646,320161,37115,11938,116432,2019
56035,124278,9501,95424,19353,0,2019
56037,2885352,92458,0,1144968,1647926,2019
56039,35226,35226,0,0,0,2019
56041,882235,179129,0,398755,304351,2019
56043,905387,664067,29745,53190,158385,2019
56045,350341,91162,15945,125075,118159,2019
56001,324276,2523,12058,9680,300015,2018
56003,1904380,601040,56456,360169,886715,2018
56005,1897711,452758,355893,789943,299117,2018
56007,561443,55980,3986,158320,343157,2018
56009,420269,25037,102650,17856,274726,2018
56011,1875327,490814,51943,975756,356814,2018
56013,890966,351293,86646,140136,312891,2018
56015,3992854,871305,1804777,0,1316772,2018
56017,64236,15986,27231,16978,4041,2018
56019,136232,6211,3679,62771,63571,2018
56021,6340218,2984939,1349027,159223,1847029,2018
56023,1076761,287842,58866,143989,586064,2018
56025,153095,49866,10431,35246,57552,2018
56027,1185164,331068,348438,12075,493583,2018
56029,2131997,751789,17913,119550,1242745,2018
56031,2674575,730956,1181140,0,762479,2018
56033,215588,72885,50854,45538,46311,2018
56035,480944,657,95949,384338,0,2018
56037,2099533,19100,0,288203,1792230,2018
56039,34381,34381,0,0,0,2018
56041,429735,0,0,270025,159710,2018
56043,961209,585073,10192,214765,151179,2018
56045,569440,116320,26568,296057,130495,2018
56001,323714,178,12057,-9681,321160,2017
56003,1835647,200499,60758,457697,1116693,2017
56005,4556255,887238,336589,3094046,238382,2017
56007,446386,178906,4278,9431,253771,2017
56009,417500,39461,102650,132427,142962,2017
56011,5253049,691016,53921,4090310,417802,2017
56013,841567,322065,96442,132329,290731,2017
56015,7584281,3597776,1955149,434855,1596501,2017
56017,389902,2291,45599,334660,7352,2017
56019,1058058,21324,3673,1001249,31812,2017
56021,9607818,5727714,1404172,501466,1974466,2017
56023,239046,46085,59713,0,133248,2017
56025,311671,175145,13100,23812,99614,2017
56027,2366107,585263,350269,771326,659249,2017
56029,1740271,352755,17913,73864,1295739,2017
56031,3091985,1165105,1144380,0,782500,2017
56033,742688,115078,39147,476806,111657,2017
56035,95949,0,95949,0,0,2017
56037,81621,18970,0,12176,50475,2017
56039,0,0,0,0,0,2017
56041,8836,0,0,8836,0,2017
56043,496004,71237,33423,280731,110613,2017
56045,2759853,132156,36594,2431335,159768,2017
56001,311845,133277,12057,15438,151073,2016
56003,1903794,490702,61044,191137,1160911,2016
56005,4390136,348600,396048,3290048,355440,2016
56007,186648,60918,4278,3508,117944,2016
56009,279424,44464,102650,0,132310,2016
56011,3522646,345429,54724,2363387,759106,2016
56013,513293,78396,121050,5416,308431,2016
56015,4595123,1219158,1842255,0,1533710,2016
56017,103246,1698,53726,33521,14301,2016
56019,611204,41625,4303,428436,136840,2016
56021,5562859,2326583,1115549,186044,1934683,2016
56023,114226,20491,57445,4077,32213,2016
56025,230025,170975,10431,0,48619,2016
56027,1820653,394945,352313,494830,578565,2016
56029,1780317,172285,24067,12628,1571337,2016
56031,2120122,445360,1035072,0,639690,2016
56033,527330,43629,60398,245361,177942,2016
56035,95949,0,95949,0,0,2016
56037,15788,15788,0,0,0,2016
56039,0,0,0,0,0,2016
56041,299,0,299,0,0,2016
56043,179742,33359,23540,38057,84786,2016
56045,2621229,57093,89618,2181920,292598,2016
56001,1235305,7345,12057,1176867,39036,2015
56003,1937265,448009,111040,165295,1212921,2015
